# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collections,1698132442823000000,1698132502813000000,43
OS.loadAverage,1698132442823000000,1698132502813000000,6.05419921875
JVM.threadCount,1698132442823000000,1698132502813000000,136
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1698132442823000000,1698132502813000000,193425
FilePageCache.totalPageLoadsUs,1698132442823000000,1698132502813000000,58155
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698132442823000000,1698132502813000000,534831104
DirectByteBufferAllocator.disposed,1698132442823000000,1698132502813000000,0
DirectByteBufferAllocator.reclaimed,1698132442823000000,1698132502813000000,10
FilePageCache.pageFastCacheHits,1698132442823000000,1698132502813000000,6055808
StorageLockContext.competingThreads.max,1698132442823000000,1698132502813000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1698132442823000000,1698132502813000000,10
StreamlinedBlobStorage.recordsAllocated,1698132442823000000,1698132502813000000,5849
FilePageCache.maxCacheSizeInBytes,1698132442823000000,1698132502813000000,532701184
FilePageCache.totalPageDisposalsUs,1698132442823000000,1698132502813000000,139
FilePageCache.pageHits,1698132442823000000,1698132502813000000,178373
FilePageCache.pageLoads,1698132442823000000,1698132502813000000,1
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698132442823000000,1698132502813000000,9437184
DirectByteBufferAllocator.hits,1698132442823000000,1698132502813000000,11
FilePageCache.maxRegisteredFiles,1698132442823000000,1698132502813000000,288
StorageLockContext.competingThreads.avg,1698132442823000000,1698132502813000000,0.008547008547008548
FilePageCache.disposedBuffers,1698132442823000000,1698132502813000000,10
FilePageCache.capacityInBytes,1698132442823000000,1698132502813000000,524288000
StreamlinedBlobStorage.recordsDeleted,1698132442823000000,1698132502813000000,56
DirectByteBufferAllocator.misses,1698132442823000000,1698132502813000000,0
FilePageCache.uncachedFileAccess,1698132442823000000,1698132502813000000,51
StorageLockContext.competingThreads.90P,1698132442823000000,1698132502813000000,0
StreamlinedBlobStorage.recordsRelocated,1698132442823000000,1698132502813000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1698132442823000000,1698132502813000000,405510
NonBlockingReadAction.failedExecutionsCount,1698132442823000000,1698132502813000000,12
FlushQueue.queueSizeAvg,1698132442823000000,1698132502813000000,8.031037540644398
AWTEventQueue.dispatchTimeAvgNs,1698132442823000000,1698132502813000000,4070114.963190971
AWTEventQueue.eventsDispatched,1698132442823000000,1698132502813000000,7797
AWTEventQueue.dispatchTimeMaxNs,1698132442823000000,1698132502813000000,784334847
FlushQueue.waitingTime90PNs,1698132442823000000,1698132502813000000,202375167
NonBlockingReadAction.finalizedExecutionTimeUs,1698132442823000000,1698132502813000000,31171340
AWTEventQueue.dispatchTime90PNs,1698132442823000000,1698132502813000000,7110655
FlushQueue.executionTimeAvgNs,1698132442823000000,1698132502813000000,2269015.4111735146
FlushQueue.executionTime90PNs,1698132442823000000,1698132502813000000,4194303
NonBlockingReadAction.finalizedExecutionsCount,1698132442823000000,1698132502813000000,1816
FlushQueue.executionTimeMaxNs,1698132442823000000,1698132502813000000,190840831
NonBlockingReadAction.failedExecutionTimeUs,1698132442823000000,1698132502813000000,255171
FlushQueue.waitingTimeAvgNs,1698132442823000000,1698132502813000000,8.996703552113509E7
AWTEventQueue.dispatchTimeTotalNS,1698132442823000000,1698132502813000000,31815398132
FlushQueue.queueSize90P,1698132442823000000,1698132502813000000,30
FlushQueue.waitingTimeMaxNs,1698132442823000000,1698132502813000000,2365587455
FlushQueue.queueSizeMax,1698132442823000000,1698132502813000000,103
FlushQueue.tasksExecuted,1698132442823000000,1698132502813000000,3383
FileNameCache.totalMisses,1698132442823000000,1698132502813000000,1109633
FileNameCache.queries,1698132442823000000,1698132502813000000,152280048
FileNameCache.fastMisses,1698132442823000000,1698132502813000000,24462533
workspaceModel.update.unloaded.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.updates.count,1698132502813000000,1698132562813000000,3
workspaceModel.replace.project.model.ms,1698132502813000000,1698132562813000000,0
workspaceModel.collect.changes.ms,1698132502813000000,1698132562813000000,0
workspaceModel.loading.from.cache.ms,1698132502813000000,1698132562813000000,196
workspaceModel.updates.precise.ms,1698132502813000000,1698132562813000000,103
workspaceModel.init.bridges.ms,1698132502813000000,1698132562813000000,2
workspaceModel.loading.total.ms,1698132502813000000,1698132562813000000,216
workspaceModel.initializing.ms,1698132502813000000,1698132562813000000,2
workspaceModel.check.recursive.update.ms,1698132502813000000,1698132562813000000,2
workspaceModel.pre.handlers.ms,1698132502813000000,1698132562813000000,2
workspaceModel.updates.ms,1698132502813000000,1698132562813000000,204
workspaceModel.to.snapshot.ms,1698132502813000000,1698132562813000000,4
jps.global.get.libraries.ms,1698132502813000000,1698132562813000000,2
jps.facet.change.listener.before.change.events.ms,1698132502813000000,1698132562813000000,0
workspaceModel.moduleBridge.before.changed.ms,1698132502813000000,1698132562813000000,0
workspaceModel.global.apply.state.to.project.ms,1698132502813000000,1698132562813000000,84
workspaceModel.moduleManagerBridge.get.modules.ms,1698132502813000000,1698132562813000000,4
jps.library.entities.serializer.save.entities.ms,1698132502813000000,1698132562813000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698132502813000000,1698132562813000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1698132502813000000,1698132562813000000,0
workspaceModel.global.updates.count,1698132502813000000,1698132562813000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1698132502813000000,1698132562813000000,0
